Climate Number,Date Time,Wind Direction,Windspeed,Temperature,Humidity,Pressure,Rainfall,24(R) Hour Rainfall,QCFlag
0005154 4 ,2019-10-23 08:00:00,-999,-999,-999,-999,-999,.800,-999,0
0020839A2 ,2019-10-23 08:00:00,-999,-999,-999,-999,-999,.400,-999,0
0021625 8 ,2019-10-23 10:00:00,-999,-999,-999,-999,-999,.200,-999,0
0021625 8 ,2019-10-23 15:00:00,-999,-999,-999,-999,-999,.200,-999,0
0022234 7 ,2019-10-23 10:00:00,-999,-999,-999,-999,-999,.600,-999,0
0022234 7 ,2019-10-23 11:00:00,-999,-999,-999,-999,-999,.400,-999,0
0022234 7 ,2019-10-23 12:00:00,-999,-999,-999,-999,-999,.600,-999,0
0022234 7 ,2019-10-23 13:00:00,-999,-999,-999,-999,-999,.800,-999,0
0022234 7 ,2019-10-23 14:00:00,-999,-999,-999,-999,-999,2.000,-999,0
0022234 7 ,2019-10-23 15:00:00,-999,-999,-999,-999,-999,.400,-999,0
0028120 2 ,2019-10-23 15:00:00,-999,-999,-999,-999,-999,.200,-999,0
0028120 2 ,2019-10-23 16:00:00,-999,-999,-999,-999,-999,.200,-999,0
0028592 X ,2019-10-23 17:00:00,-999,-999,-999,-999,-999,.200,-999,0
0240184 1 ,2019-10-23 08:00:00,-999,-999,-999,-999,-999,.200,-999,0
0271099 3 ,2019-10-23 07:00:00,-999,-999,-999,-999,-999,.200,-999,0
0337740 5 ,2019-10-23 09:00:00,-999,-999,-999,-999,-999,.200,-999,0
0337740 5 ,2019-10-23 13:00:00,-999,-999,-999,-999,-999,1.400,-999,0
0337740 5 ,2019-10-23 16:00:00,-999,-999,-999,-999,-999,.200,-999,0
0724435 6 ,2019-10-23 06:00:00,-999,-999,-999,-999,-999,.200,-999,0
0724435 6 ,2019-10-23 14:00:00,-999,-999,-999,-999,-999,.200,-999,0
